name,score,issn
Health Promotion and Chronic Disease Prevention in Canada-Research Policy and Practice,2.2,2368-738X
BJPsych Bulletin,2.2,2056-4708
Nonprofit Policy Forum,2.2,2154-3348
Acta Montanistica Slovaca,2.2,1335-1788
IJISPM-International Journal of Information Systems and Project Management,2.2,2182-7788
SWISS MEDICAL WEEKLY,2.1,1424-3997
European Journal of Transport and Infrastructure Research,2.1,1567-7141
Geodesy and Cartography,2.1,2300-2581
BJPsych International,2.1,2058-6264
Archives of Physiotherapy,2.1,2057-0082
Clinical and Experimental Vaccine Research,2.1,2287-366X
Osong Public Health and Research Perspectives,2.1,2233-6052
Journal of Advanced Dielectrics,2.1,2010-1368
Journal of the Egyptian National Cancer Institute,2.1,2589-0409
BioMedicine-Taiwan,2.1,2211-8039
INDIAN JOURNAL OF OPHTHALMOLOGY,2.1,1998-3689
Informatics in Education,2.1,2335-8971
RIE-Revista de Investigacion Educativa,2.1,1989-9106
Demographic Research,2.1,1435-9871
Strategic Management,2.0,2334-6191
Obstetrics & Gynecology Science,2.0,2287-8580
Rural and Remote Health,2.0,1445-6354
Nordicom Review,2.0,2001-5119
JCOM-Journal of Science Communication,2.0,1824-2049
COMPTES RENDUS GEOSCIENCE,2.0,1778-7025
NEFROLOGIA,2.0,1989-2284
Methodology-European Journal of Research Methods for the Behavioral and Social Sciences,2.0,1614-2241
International Journal of Child Care and Education Policy,2.0,2288-6729
Taiwanese Journal of Obstetrics & Gynecology,2.0,1028-4559
REVISTA PANAMERICANA DE SALUD PUBLICA-PAN AMERICAN JOURNAL OF PUBLIC HEALTH,2.0,1680-5348
Journal of Political Ecology,2.0,1073-0451
Indian Dermatology Online Journal,1.9,2249-5673
Epidemiologia e Servicos de Saude,1.9,2237-9622
Brazilian Journal of Operations & Production Management,1.9,2237-8960
Africa Spectrum,1.9,1868-6869
Clinical and Experimental Emergency Medicine,1.9,2383-4625
Global Energy Interconnection-China,1.9,2590-0358
Science and Technology Studies,1.9,2243-4690
Annals of Indian Academy of Neurology,1.9,1998-3549
Balkan Medical Journal,1.9,2146-3131
London Review of Education,1.9,1474-8479
Indian Journal of Psychological Medicine,1.9,0975-1564
Innoeduca-International Journal of Technology and Educational Innovation,1.9,2444-2925
LETHAIA,1.9,1502-3931
Nordic Studies on Alcohol and Drugs,1.9,1458-6126
Journal of Kidney Cancer and VHL,1.9,2203-5826
Revista Espanola de Quimioterapia,1.9,1988-9518
Research in Learning Technology,1.9,2156-7077
RED-Revista de Educacion a Distancia,1.9,1578-7680
CULTURAL ANTHROPOLOGY,1.9,1548-1360
Asian Pacific Journal of Tropical Medicine,1.9,2352-4146
Precision and Future Medicine,1.9,2508-7959
Clinics in Orthopedic Surgery,1.9,2005-4408
Cadernos de Saude Publica,1.9,1678-4464
International Journal of Communication,1.9,1932-8036
Clinics in Shoulder and Elbow,1.8,2288-8721
COGNITIVE LINGUISTICS,1.8,1613-3641
Journal of Social and Political Psychology,1.8,2195-3325
Bio-based and Applied Economics,1.8,2280-6172
International Neurourology Journal,1.8,2093-6931
International Journal for Crime Justice and Social Democracy,1.8,2202-8005
Moravian Geographical Reports,1.8,2199-6202
ANNALES DE L INSTITUT HENRI POINCARE-ANALYSE NON LINEAIRE,1.8,1873-1430
Cuadernos de Gestion,1.8,1988-2157
MOLECULAR VISION,1.8,1090-0535
Mediterranean Journal of Clinical Psychology,1.8,2282-1619
HYSTRIX-Italian Journal of Mammalogy,1.8,1825-5272
Pixel-Bit- Revista de Medios y Educacion,1.8,2171-7966
Journal of Spatial Information Science,1.8,1948-660X
Chinese Journal of Traumatology,1.8,1008-1275
Foundations of Computing and Decision Sciences,1.8,2300-3405
She Ji-The Journal of Design Economics and Innovation,1.8,2405-8718
REGE-Revista de Gestao,1.8,2177-8736
Europes Journal of Psychology,1.8,1841-0413
Indian Journal of Psychiatry,1.7,1998-3794
SINGAPORE MEDICAL JOURNAL,1.7,2737-5935
Arhiv za Higijenu Rada i Toksikologiju-Archives of Industrial Hygiene and Toxicology,1.7,1848-6312
International Journal of Educational Research and Innovation,1.7,2386-4303
Island Studies Journal,1.7,1715-2593
Asian Pacific Journal of Tropical Biomedicine,1.7,2588-9222
Journal of Groundwater Science and Engineering,1.7,2305-7068
Journal of Writing Research,1.7,2294-3307
Iranian Journal of Language Teaching Research,1.7,2322-1291
IACR Transactions on Symmetric Cryptology,1.7,2519-173X
Linguistic Typology,1.7,1613-415X
Renewable Energy Research and Applications,1.7,2676-7430
Annals of Forest Research,1.7,2065-2445
Teaching & Learning Inquiry-The ISSOTL Journal,1.7,2167-4787
Psicologia Educativa,1.7,2174-0526
JOURNAL OF PERINATAL MEDICINE,1.7,1619-3997
Netherlands Quarterly of Human Rights,1.7,2214-7357
Urban Rail Transit,1.7,2199-6679
GMS Hygiene and Infection Control,1.7,2196-5226
PALAEONTOLOGIA ELECTRONICA,1.7,1094-8074
ADVANCES IN PHYSIOLOGY EDUCATION,1.7,1522-1229
ADCAIJ-Advances in Distributed Computing and Artificial Intelligence Journal,1.7,2255-2863
Empirical Research in Vocational Education and Training,1.6,1877-6345
Surveillance & Society,1.6,1477-7487
International Journal of Sports Physical Therapy,1.6,2159-2896
CHEMICAL AND BIOCHEMICAL ENGINEERING QUARTERLY,1.6,1846-5153
Central European Public Administration Review,1.6,2591-2259
Zdravstveno Varstvo,1.6,1854-2476
Chinese Journal of Urban and Environmental Studies,1.6,2345-752X
Statistica,1.6,1973-2201
Journal of Patient-Centered Research and Reviews,1.6,2330-0698
Journal of Politics in Latin America,1.6,1868-4890
International Maritime Health,1.6,2081-3252
Technology Innovation Management Review,1.6,1927-0321
Multidisciplinary Journal for Education Social and Technological Sciences,1.6,2341-2593
Knowledge and Management of Aquatic Ecosystems,1.6,1961-9502
Middle East Fertility Society Journal,1.6,2090-3251
Mathematical Modelling and Analysis,1.6,1648-3510
International Journal of Serious Games,1.6,2384-8766
Journal for Labour Market Research,1.6,2510-5027
Jurnal Tribologi,1.6,2289-7232
Archives of Endocrinology Metabolism,1.6,2359-4292
Science Editing,1.6,2288-8063
Apunts Educacion Fisica y Deportes,1.6,2014-0983
RIVISTA ITALIANA DI PALEONTOLOGIA E STRATIGRAFIA,1.6,2039-4942
Romanian Journal of Internal Medicine,1.6,2501-062X
SCIRES-IT-SCIentific RESearch and Information Technology,1.6,2239-4303
Education Inquiry,1.6,2000-4508
Scientific Drilling,1.6,1816-3459
Teoria de la Educacion,1.5,2386-5660
Brazilian Oral Research,1.5,1807-3107
Cuadernos de Investigacion Geografica,1.5,1697-9540
CARNETS DE GEOLOGIE,1.5,1765-2553
Estudios Sobre Educacion,1.5,2386-6292
AQUATIC LIVING RESOURCES,1.5,1765-2952
NEW ZEALAND JOURNAL OF FORESTRY SCIENCE,1.5,1179-5395
Urology Journal,1.5,1735-546X
CROATIAN MEDICAL JOURNAL,1.5,1332-8166
Mires and Peat,1.5,1819-754X
Comparative Population Studies,1.5,1869-8999
Retos-Revista de Ciencias de la Administracion y Economia,1.5,1390-8618
Arthropod Systematics & Phylogeny,1.5,1864-8312
International Journal for Research in Vocational Education and Training-IJRVET,1.5,2197-8646
Turkish Journal of Hematology,1.5,1308-5263
