name,score,issn
China Quarterly of International Strategic Studies,0.5,2377-7419
Konsultativnaya Psikhologiya i Psikhoterapiya-Counseling Psychology and Psychotherapy,0.5,2311-9446
Ain Shams Journal of Anesthesiology,0.5,2090-925X
Applied Computer Systems,0.5,2255-8691
Egyptian Pediatric Association Gazette,0.5,2090-9942
Journal of Muslim Mental Health,0.5,1556-5009
Economic and Social Changes-Facts Trends Forecast,0.5,2312-9824
Culturales,0.5,2448-539X
Asia Pacific Journal of Health Management,0.5,2204-3136
Architecture Civil Engineering Environment,0.5,2720-6947
Electrical Control and Communication Engineering,0.5,2255-9159
Present Environment and Sustainable Development,0.5,2284-7820
Historical Encounters-A Journal of Historical Consciousness Historical Cultures and History Education,0.5,2203-7543
Chinese Space Science and Technology,0.5,1000-758X
Ergo-An Open Access Journal of Philosophy,0.5,2330-4014
Revista Brasileira de Ciencias Ambientais,0.5,2176-9478
Revista Espanola de Discapacidad-REDIS,0.5,2340-5104
Tripodos,0.5,2340-5007
Iranian Journal of Applied Animal Science,0.5,2251-631X
Acciones e Investigaciones Sociales,0.5,2340-4507
DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE,0.5,1365-8050
Con-textos Kantianos-International Journal of Philosophy,0.5,2386-7655
History of Geo- and Space Sciences,0.5,2190-5029
Ankara Universitesi Egitim Bilimleri Fakultesi Ozel Egitim Dergisi-Ankara University Faculty of Educational Sciences Journal of Special Education,0.5,2149-8261
Estudios Atacamenos,0.5,0718-1043
Primenjena Psihologija,0.5,2334-7287
Foro Internacional,0.5,2448-6523
Revista Juridica Portucalense,0.5,2183-5705
Revista Iteckne,0.5,2339-3483
Antropologia Portuguesa,0.5,2182-7982
Bulletin of the Mineral Research and Exploration,0.5,0026-4563
Finisterra-Revista Portuguesa de Geografia,0.5,2182-2905
AUC Geographica,0.5,2336-1980
Floresta e Ambiente,0.5,2179-8087
Journal of Youth Development,0.5,2325-4017
Boletin de Geologia,0.5,2145-8553
Doxa Comunicacion,0.5,2386-3978
Convergencia-Revista de Ciencias Sociales,0.5,2448-5799
FRAGMENTA ENTOMOLOGICA,0.5,2284-4880
European Integration Studies,0.5,2335-8831
Asian Pacific Journal of Reproduction,0.5,2305-0519
Journal of Agriculture and Environment for International Development,0.5,2240-2802
Economia Agraria y Recursos Naturales,0.5,2174-7350
Chemistry Journal of Moldova,0.5,2345-1688
Investigaciones Feministas,0.5,2171-6080
Andes Pediatrica,0.5,2452-6053
Carpathian Journal of Food Science and Technology,0.5,2344-5459
Current Trends in Translation Teaching and Learning E,0.5,2342-7205
Panta Rei-Digital Journal of History and Didactics of History,0.5,2386-8864
Latin American Economic Review,0.5,2196-436X
Comparative Southeast European Studies,0.5,2701-8202
Administration,0.5,2449-9471
Desafios,0.5,2145-5112
Revista de Educacion y Derecho-Educational and Law Review,0.5,2386-4885
TIDSSKRIFT FOR SAMFUNNSFORSKNING,0.5,1504-291X
Current Journal of Neurology,0.5,2717-011X
Saudi Journal of Kidney Diseases and Transplantation,0.5,2320-3838
Language and Literacy,0.5,1496-0974
Problemy Analiza-Issues of Analysis,0.5,2306-3432
Addicta-The Turkish Journal on Addictions,0.5,2149-1305
Dubai Medical Journal,0.5,2571-726X
Discours-Revue de Linguistique Psycholinguistique et Informatique,0.5,1963-1723
Nazariyat-Journal for the History of Islamic Philosophy and Sciences,0.5,2547-9415
DADOS-REVISTA DE CIENCIAS SOCIAIS,0.5,1678-4588
European Journal of Legal Studies,0.5,1973-2937
Historia Ciencias Saude-Manguinhos,0.5,1678-4758
IHERINGIA SERIE ZOOLOGIA,0.5,1678-4766
Przeglad Dermatologiczny,0.5,2084-9893
African Journal of Urology,0.5,1961-9987
World Review of Political Economy,0.5,2042-8928
Journal for Peace and Nuclear Disarmament,0.5,2575-1654
Paginas de Educacion,0.5,1688-7468
Istanbul Journal of Pharmacy,0.5,2587-2087
Digital Humanities Quarterly,0.5,1938-4122
Etic net-Revista Cientifica Electronica de Educacion y Comunicacion en la Sociedad del Conocimiento,0.5,1695-324X
Canadian Journal of Nonprofit and Social Economy Research,0.5,1920-9355
Saude e Sociedade,0.5,1984-0470
Arte Individuo y Sociedad,0.5,1988-2408
Izvestiya Vysshikh Uchebnykh Zavedeniy-Prikladnaya Nelineynaya Dinamika,0.5,2542-1905
Cuadernos de Relaciones Laborales,0.5,1988-2572
ARBOR-CIENCIA PENSAMIENTO Y CULTURA,0.5,1988-303X
Historia y Comunicacion Social,0.5,1988-3056
Anuario de Estudios Americanos,0.5,1988-4273
Portugaliae Mathematica,0.5,1662-2758
Educatio Siglo XXI,0.5,1989-466X
Trakya University Journal of Natural Sciences,0.5,2528-9691
Investigaciones Geograficas-Spain,0.5,1989-9890
Feminismo-s,0.5,1989-9998
REVMAR-Revista Ciencias Marinas y Costeras,0.5,1659-407X
Ethics & Global Politics,0.5,1654-6369
Revista Bio Ciencias,0.5,2007-3380
Academia y Virtualidad,0.5,2011-0731
Almatourism-Journal of Tourism Culture and Territorial Development,0.5,2036-5195
Canadian Journal of Applied Linguistics,0.5,1920-1818
Canadian Journal for the Scholarship of Teaching and Learning,0.5,1918-2902
Papeles del CEIC-International Journal on Collective Identity Research,0.5,1695-6494
UCJC Business and Society Review,0.5,2659-3270
Advances in Electrical and Electronic Engineering,0.5,1804-3119
Psychiatry and Behavioral Sciences,0.5,2636-834X
Journal of Mathematical Physics Analysis Geometry,0.5,1817-5805
Politics and Religion Journal,0.5,1820-659X
Istanbul Business Research,0.5,2630-5488
Veterinaria Italiana,0.5,1828-1427
Public History Review,0.5,1833-4989
Commonwealth Journal of Local Governance,0.5,1836-0394
Cosmopolitan Civil Societies-An Interdisciplinary Journal,0.5,1837-5391
Romanian Journal of Information Technology and Automatic Control-Revista Romana de Informatica si Automatica,0.5,1841-4303
REVISTA PERUANA DE BIOLOGIA,0.5,1727-9933
Pomorstvo-Scientific Journal of Maritime Research,0.5,1846-8438
Ekonomski Vjesnik,0.5,1847-2206
DRUSTVENA ISTRAZIVANJA,0.5,1848-6096
Poljoprivreda,0.5,1848-8080
Pasos-Revista de Turismo y Patrimonio Cultural,0.5,1695-7121
EGE-Revista de Expresion Grafica en la Edificacion,0.5,2605-082X
Ekonomska Misao i Praksa-Economic Thought and Practice,0.5,1848-963X
Geoadria,0.5,1848-9710
Croatian Operational Research Review,0.5,1848-9931
Rad Hrvatske Akademije Znanosti i Umjetnosti-Matematicke Znanosti,0.5,1849-2215
REVISTA DE LA SOCIEDAD ENTOMOLOGICA ARGENTINA,0.5,1851-7471
Analisis Filosofico,0.5,1851-9636
Revista Argentina de Ciencias del Comportamiento,0.5,1852-4206
Acta Histriae,0.5,2591-1767
Sudan Journal of Medical Sciences,0.5,1858-5051
International Journal of Abdominal Wall and Hernia Surgery,0.5,2589-8078
Cardiothoracic Surgeon,0.5,2662-2203
ACTA PHYSICA POLONICA A,0.5,1898-794X
ACTA BIOLOGICA COLOMBIANA,0.5,1900-1649
Tecnoscienza-Italian Journal of Science & Technology Studies,0.5,2038-3460
Journal of Health and Safety at Work,0.5,2383-2088
Athenea Digital,0.5,1578-8946
Comics Grid-Journal of Comics Scholarship,0.5,2048-0792
International Journal of Emotional Education,0.5,2073-7629
Information Technologies and Learning Tools,0.5,2076-8184
Sri Lanka Journal of Social Sciences,0.5,2478-1169
Central European Journal of Economic Modelling and Econometrics,0.5,2080-119X
Onati Socio-Legal Series,0.5,2079-5971
WILDFOWL,0.5,2052-6458
Discussiones Mathematicae Graph Theory,0.5,2083-5892
Alternativas. Cuadernos de Trabajo Social,0.4,1989-9971
Disputatio-International Journal of Philosophy,0.4,2182-2875
Psychology and Law,0.4,2222-5196
Revista Ingenieria de Construccion,0.4,0718-5073
Ciudades-Revista del Instituto Universitario de Urbanistica de la Universidad de Valladolid,0.4,2445-3943
Estudios de Economia,0.4,0718-5286
Conservar Patrimonio,0.4,2182-9942
Clio America,0.4,2389-7848
Psihologijske teme,0.4,1849-0395
Estudos Kantianos,0.4,2318-0501
VITRUVIO-International Journal of Architectural Technology and Sustainability,0.4,2444-9091
Market-Trziste,0.4,1849-1383
Revista Portuguesa de Investigacao Comportamental e Social,0.4,2183-4938
Cognitive Studies-Etudes Cognitives,0.4,2392-2397
Advances in Group Theory and Applications,0.4,2499-1287
Studies in Self-Access Learning Journal,0.4,2185-3762
Annals of Library and Information Studies,0.4,0975-2404
Mass Spectrometry Letters,0.4,2093-8950
Torres de Lucca-Revista Internacional de Filosofia Politica,0.4,2255-3827
Revista Brasileira de Direito Processual Penal,0.4,2525-510X
Desenvolvimento e Meio Ambiente,0.4,2176-9109
Scientific Journal of Silesian University of Technology-Series Transport,0.4,2450-1549
Journal of Diabetology,0.4,2078-7685
Revista Empresa y Humanismo,0.4,2254-6413
Revista de Cancioneros Impresos y Manuscritos,0.4,2254-7444
Journal of Aesthetics & Culture,0.4,2000-4214
Medijske Studije-Media Studies,0.4,1848-5030
Canadian Journal of Educational Administration and Policy,0.4,1207-7798
Galactica Media-Journal of Media Studies - Galaktika Media-Zhurnal Media Issledovanij,0.4,2658-7734
Journal of Print and Media Technology Research,0.4,2414-6250
Apuntes-Revista de Ciencias Sociales,0.4,2223-1757
Electronic Journal of Graph Theory and Applications,0.4,2338-2287
Arterial Hypertension,0.4,2449-6162
Hrvatski Geografski Glasnik-Croatian Geographical Bulletin,0.4,1848-6401
Comunicacion y Sociedad-Guadalajara,0.4,2448-9042
Convivium,0.4,2255-2855
AL-QANTARA,0.4,1988-2955
Veredas do Direito,0.4,2179-8699
Revista Espanola de Comunicacion en Salud,0.4,1989-9882
Revista Latinoamericana de Poblacion,0.4,2393-6401
Nuclear Physics and Atomic Energy,0.4,2074-0565
JOURNAL OF EXTENSION,0.4,1077-5315
Cuadernos de Trabajo Social,0.4,1988-8295
Revista Publicaciones,0.4,2530-9269
Revista de Teledeteccion,0.4,1988-8740
Journal of Acute Disease,0.4,2589-5516
De Computis-Revista Espanola de Historia de la Contabilidad,0.4,1886-1881
Revista Iberoamericana de Estudios Municipales,0.4,0719-1790
Matematicki Vesnik,0.4,2406-0682
Revista Chilena de Derecho y Tecnologia,0.4,0719-2584
International Journal of Child Youth & Family Studies,0.4,1920-7298
Area Abierta,0.4,1578-8393
Revista de Salud Ambiental,0.4,1697-2791
Geofocus-Revista Internacional de Ciencia y TecnologIa de la InformaciOn GeogrAfica,0.4,1578-5157
Journal of Early Modern Studies,0.4,2279-7149
Journal of Computational Geometry,0.4,1920-180X
Contextos Educativos-Revista de Educacion,0.4,1695-5714
Revista de Estudios Internacionales Mediterraneos,0.4,1887-4460
Emergency Care Journal,0.4,2282-2054
Geoconservation Research,0.4,2588-7343
European Spatial Research and Policy,0.4,1896-1525
Proceedings of Singapore Healthcare,0.4,2059-2329
Journal of Pacific Archaeology,0.4,1179-4712
Turkish Journal of Neurology,0.4,1309-2545
Si Somos Americanos-Revista de Estudios Transfronterizos,0.4,0719-0948
Informes de la Construccion,0.4,1988-3234
Australasian Journal of Combinatorics,0.4,2202-3518
African Journal of Information Systems,0.4,1936-0282
Agricultural Science and Practice,0.4,2312-3389
French-Ukrainian Journal of Chemistry,0.4,2312-3222
Annales-Anali za Istrske in Mediteranske Studije-Series Historia et Sociologia,0.4,2591-1775
Eksperimentalnaya Psikhologiya,0.4,2311-7036
Language Documentation & Conservation,0.4,1934-5275
Cahiers Balkaniques,0.4,2261-4184
Atlantis-Journal of the Spanish Association of Anglo-American Studies,0.4,1989-6840
Enseignement Mathematique,0.4,2309-4672
Macedonian Veterinary Review,0.4,1857-7415
Ateliers de l Ethique-The Ethics Forum,0.4,1718-9977
Evidence Based Library and Information Practice,0.4,1715-720X
International Journal of Conflict and Violence,0.4,1864-1385
Journal fur Kulturpflanzen,0.4,1867-0938
Changing Societies & Personalities,0.4,2587-8964
International Journal of Whole Schooling,0.4,1710-2146
Revista Economia,0.4,2304-4306
Revista de la Facultad de Derecho,0.4,2301-0665
Corvinus Journal of Sociology and Social Policy,0.4,2062-087X
Revista de Estudios Andaluces,0.4,2340-2776
Canadian Journal of Speech-Language Pathology and Audiology,0.4,1913-2018
Psicodebate-Psicologia Cultura y Sociedad,0.4,2451-6600
Indonesian Journal of Geoscience,0.4,2355-9306
Turczaninowia,0.4,1560-7267
European Journal of Pragmatism and American Philosophy,0.4,2036-4091
Geology Geophysics and Environment,0.4,2353-0790
Revista de Historia Industrial,0.4,2385-3247
Cadernos Gestao Publica e Cidadania,0.4,2236-5710
Acta Neophilologica,0.4,2350-417X
Laeknabladid,0.4,1670-4959
Journal of Materials and Engineering Structures,0.4,2170-127X
Studia Metrica et Poetica,0.4,2346-691X
Egyptian Journal of Otolaryngology,0.4,2090-8539
Magis-Revista Internacional de Investigacion en Educacion,0.4,2027-1182
Revista Cuidarte,0.4,2346-3414
Historia Agraria,0.4,2340-3659
OASIS-Observatorio de Analisis de los Sistemas Internacionales,0.4,2346-2132
Mathematics in Applied Sciences and Engineering,0.4,2563-1926
Journal of Al-Tamaddun,0.4,1823-7517
Studia Aurea-Revista de Literatura Espanola y Teoria Literaria del Renacimiento y Siglo de Oro,0.4,1988-1088
Poultry Science Journal,0.4,2345-6566
Geopoliticas-Revista de Estudios sobre Espacio y Poder,0.4,2172-7155
South East Asian Journal of Management,0.4,2355-6641
Archeologia e Calcolatori,0.4,2385-1953
European Journal of Comparative Economics,0.4,1824-2979
Heart Views,0.4,0976-5123
Approaching Religion,0.4,1799-3121
Journal of Military and Strategic Studies,0.4,1488-559X
Activites-Revue Electronique,0.4,1765-2723
Revista Colombiana de Investigaciones Agroindustriales,0.4,2422-4456
Review of Economic Perspectives,0.4,1804-1663
How-A Colombian Journal for Teachers of English,0.4,0120-5927
Journal of Road Safety-JRS,0.4,2652-4252
Notes on Number Theory and Discrete Mathematics,0.4,2367-8275
Journal of Ancient History and Archaeology,0.4,2360-266X
Journal of Digestive Endoscopy,0.4,0976-5050
AtoZ-Novas Praticas em Informacao e Conhecimento,0.4,2237-826X
Film-Philosophy,0.4,1466-4615
JLIS.it,0.4,2038-1026
Administracao-Ensino e Pesquisa,0.4,2358-0917
Ingenieria Solidaria,0.4,2357-6014
Dixi,0.4,2357-5891
Matematiche,0.4,2037-5298
Neurological Sciences and Neurophysiology,0.4,2636-865X
Colombian Applied Linguistics Journal,0.4,2248-7085
Quaderns de Psicologia,0.4,2014-4520
Opera-Colombia,0.4,2346-2159
Music Theory Online,0.4,1067-3040
Acta Angiologica,0.4,1644-3276
LFE-Revista de Lenguas para Fines Especificos,0.4,2340-8561
Ars Pharmaceutica,0.4,2340-9894
Journal of Mathematical Extension,0.4,1735-8299
Revista Portuguesa de Estomatologia Medicina Dentaria e Cirurgia Maxilofacial,0.4,1647-6700
Geodetski Vestnik,0.4,1581-1328
Shima-The International Journal of Research into Island Cultures,0.4,1834-6057
Revista de Investigacion en Logopedia,0.4,2174-5218
Anuario Colombiano de Derecho Internacional-ACDI,0.4,2145-4493
Architectural Histories,0.4,2050-5833
Revista Espanola de Nutricion Humana y Dietetica,0.4,2174-5145
Culture & History Digital Journal,0.4,2253-797X
Croatian Economic Survey,0.4,1846-3878
Diametros,0.4,1733-5566
Encrucijadas-Revista Critica de Ciencias Sociales,0.4,2174-6753
Anales de Geografia de la Universidad Complutense,0.4,1988-2378
New York Journal of Mathematics,0.4,1076-9803
Research in Educational Administration & Leadership,0.4,2564-7261
Ingenius-Revista de Ciencia y Tecnologia,0.4,1390-860X
Philosophy and Cosmology-Filosofiya i Kosmologiya,0.4,2518-1866
Revista de Geografia Norte Grande,0.4,0718-3402
Ra-Revista de Arquitectura,0.4,2254-6332
Ingenieria,0.4,2344-8393
Metode Science Studies Journal,0.4,2174-9221
Anthropologie et Sante-Revue Internationale Francophone d Anthropologie de la Sante,0.3,2111-5028
Revista Iberoamericana de Ciencias de la Actividad Fisica y el Deporte,0.3,2255-0461
Indian Journal of Neurosurgery,0.3,2277-9167
Enunciacion,0.3,2248-6798
Cuadernos de Economia,0.3,2248-4337
Word and Text-A Journal of Literary Studies and Linguistics,0.3,2247-9163
Wacana-Jurnal Ilmu Pengetahuan Budaya-Journal of the Humanities of Indonesia,0.3,2407-6899
Logos Ciencia & Tecnologia,0.3,2422-4200
Revista Historia Autonoma,0.3,2254-8726
Historelo-Revista de Historia Regional y Local,0.3,2145-132X
Revista Gestao Organizacional,0.3,1983-6635
EGA-Revista de Expresion Grafica Arquitectonica,0.3,2254-6103
Organon F,0.3,2585-7150
Indian Journal of Medical and Paediatric Oncology,0.3,0975-2129
Journal of Pediatric and Neonatal Individualized Medicine,0.3,2281-0692
Revista Galega de Economia,0.3,2255-5951
Problemy Istoricheskoi Poetiki,0.3,2411-4642
REVISTA DE LA SOCIEDAD GEOLOGICA DE ESPANA,0.3,2255-1379
Regionologiya-Regionology Russian Journal of Regional Studies,0.3,2587-8549
Cuadernos de Administracion-Universidad del Valle,0.3,2256-5078
Studia Theologica-Czech Republic,0.3,2570-9798
Revista Universidad Empresa,0.3,2145-4558
International Journal of Medical Toxicology and Forensic Medicine,0.3,2251-8770
Arab Studies Quarterly,0.3,2043-6920
Archives of Trauma Research,0.3,2251-9599
Iberoamericana,0.3,2255-520X
AIBR-Revista de Antropologia Iberoamericana,0.3,1578-9705
Revista Criminalidad,0.3,2256-5531
ELIA-Estudios de Linguistica Inglesa Aplicada,0.3,2253-8283
Global Environment,0.3,2053-7352
Visnyk of V N Karazin Kharkiv National University-Series Geology Geography Ecology,0.3,2411-3913
Oido Pensante,0.3,2250-7116
Uni-pluriversidad,0.3,2665-2730
Canadian Journal of Bioethics-Revue Canadienne de Bioethique,0.3,2561-4665
RDBCI-Revista Digital de Biblioteconomia e Ciencia da Informacao,0.3,1678-765X
GIST-Education and Learning Research Journal,0.3,2248-8391
Journal of Applied Hermeneutics,0.3,1927-4416
Open Library of Humanities,0.3,2056-6700
Oeconomia-History Methodology Philosophy,0.3,2269-8450
Galician Medical Journal,0.3,2414-1518
Pedagogische Studien,0.3,2666-3996
Art-Sanat,0.3,2148-3582
Pampa,0.3,2314-0208
Historical Studies in Education-Canada,0.3,1911-9674
Afriques-Debats Methodes et Terrains d Histoire,0.3,2108-6796
Revista Cientifica,0.3,2344-8350
Argumentation et Analyse du Discours,0.3,1565-8961
Historia-Santiago,0.3,0717-7194
Egyptian Journal of Critical Care Medicine,0.3,2090-9209
Bulletin of University of Agricultural Sciences and Veterinary Medicine Cluj-Napoca-Food Science and Technology,0.3,2344-5300
Pasado y Memoria-Revista de Historia Contemporanea,0.3,2386-4745
Aula de Encuentro,0.3,2341-4847
VLC Arquitectura-Research Journal,0.3,2341-2747
Revista Mad-Revista del Magister en Analisis Sistemico Aplicado a la Sociedad,0.3,0718-0527
Boletin de la Asociacion Internacional de Derecho Cooperativo-International Association of Cooperative Law Journal,0.3,2386-4893
Arheologia,0.3,2616-499X
Journal of Philosophical Economics,0.3,1844-8208
Revija za Socijalnu Politiku,0.3,1845-6014
Sociologiceskoe Obozrenie,0.3,1728-1938
Nepalese Journal of Ophthalmology,0.3,2091-0320
Cauriensia-Revista Anual de Ciencias Eclesiasticas,0.3,2340-4256
Complutense Journal of English Studies,0.3,2386-6624
Collectanea Christiana Orientalia,0.3,2386-7442
Journal of Information and Organizational Sciences,0.3,1846-9418
Doxa-Cuadernos de Filosofia y Derecho,0.3,2386-4702
Socialine Teorija Empirija Politika ir Praktika,0.3,2345-0266
Anthropological Journal of European Cultures,0.3,1755-2931
JAPANESE JOURNAL OF RELIGIOUS STUDIES,0.3,0304-1042
Archives of Epilepsy,0.3,2792-0550
Obrana a Strategie-Defence & Strategy,0.3,1802-7199
Statistika-Statistics and Economy Journal,0.3,1804-8765
English Studies at NBU,0.3,2367-8704
Interdisciplinary Journal for Religion and Transformation in Contemporary Society,0.3,2364-2807
Revista Brasileira de Estudos Politicos,0.3,2359-5736
Revista de Investigacoes Constitucionais-Journal of Constitutional Research,0.3,2359-5639
Clinical and Investigative Orthodontics,0.3,2770-579X
Revista de Agricultura Neotropical,0.3,2358-6303
Revista Musical Chilena,0.3,0717-6252
Indonesian Capital Market Review,0.3,2356-3818
Makara Journal of Health Research,0.3,2356-3656
Universum-Revista de Humanidades y Ciencias Sociales,0.3,0716-498X
Journal of Logic and Analysis,0.3,1759-9008
Cinta de Moebio,0.3,0717-554X
Asian Studies-Azijske Studije,0.3,2350-4226
Slovenian Veterinary Research,0.3,2385-8761
Studia Historica-Historia Moderna,0.3,2386-3889
Al-Jamiah-Journal of Islamic Studies,0.3,2338-557X
Acta Universitatis Carolinae Theologica,0.3,2336-3398
Vojenske Rozhledy-Czech Military Review,0.3,2336-2995
Timarit um Uppeldi og Menntun-Icelandic Journal of Education,0.3,2298-8408
Derecho PUCP,0.3,2305-2546
Debates en Sociologia,0.3,2304-4284
Clinical Psychology and Special Education,0.3,2304-0394
IDP-Internet Law and Politics,0.3,1699-8154
Revista Habitat Sustentable,0.3,0719-0700
Computer Science-AGH,0.3,2300-7036
Relaciones Internacionales-Madrid,0.3,1699-3950
Documenta et Instrumenta,0.3,1697-3798
Logos-Revista de Linguistica Filosofia y Literatura,0.3,0719-3262
Perfiles Latinoamericanos,0.3,2309-4982
Chilean Journal of Agricultural & Animal Sciences,0.3,0719-3890
Revista de Linguistica y Lenguas Aplicadas,0.3,1886-6298
RIVAR-Revista Iberoamericana de Viticultura Agroindustria y Ruralidad,0.3,0719-4994
Resonancias,0.3,0719-5702
Arquitecturas del Sur,0.3,0719-6466
Aposta-Revista de Ciencias Sociales,0.3,1696-7348
Revista Internacional de Pensamiento Politico,0.3,2695-575X
Historia Critica,0.3,1900-6152
Revista Latinoamericana de Metodologia de las Ciencias Sociales,0.3,1853-7863
TERAPEVTICHESKII ARKHIV,0.3,2309-5342
Revista Chilena de Derecho,0.3,0718-3437
Physiology and Pharmacology,0.3,2476-5244
Cuadernos de Documentacion Multimedia,0.3,1575-9733
Acta Silvae et Ligni,0.3,2335-3953
Cuadernos de Neuropsicologia-Panamerican Journal of Neuropsychology,0.3,0718-4123
Etnoantropoloski Problemi-Issues in Ethnology and Anthropology,0.3,2334-8801
Studia Ethnologica Croatica,0.3,1848-9532
Cultura y Religion,0.3,0718-4727
Perspectivas de la Comunicacion,0.3,0718-4867
Lecturas de Economia,0.3,2323-0622
Journal of Pediatrics Review,0.3,2322-4401
Revista Latinoamericana de la Papa,0.3,1853-4961
Magnetic Resonance in Solids,0.3,2072-5981
Revista Gestion de las Personas y Tecnologia,0.3,0718-5693
Musica Hodie,0.3,2317-6776
Annales Mathematicae Silesianae,0.3,2391-4238
Ekonomia i Prawo-Economics and Law,0.3,2392-1625
INDIAN JOURNAL OF AGRICULTURAL SCIENCES,0.3,2394-3319
Siberian Historical Research-Sibirskie Istoricheskie Issledovaniya,0.3,2312-4628
Revista Cubana de Ciencias Forestales,0.3,2310-3469
HISTORISK TIDSSKRIFT,0.3,1504-2944
Journal of Egyptian Womens Dermatological Society,0.3,2090-2565
Lucentum,0.3,1989-9904
Ius Humani-Revista de Derecho,0.3,1390-7794
REVISTA DE INDIAS,0.3,1988-3188
REVISTA DE FILOLOGIA ESPANOLA,0.3,1988-8538
Revista Humanidades,0.3,2215-3934
Istanbul Universitesi Sosyoloji Dergisi-Istanbul University Journal of Sociology,0.3,2667-6931
University of Bologna Law Review,0.3,2531-6133
Con A de Animacion,0.3,2173-3511
Dearq,0.3,2215-969X
Perspectiva Teologica,0.3,2176-8757
Edad Media-Revista de Historia,0.3,2530-6448
Barataria-Revista Castellano-Manchega de Ciencias Sociales,0.3,2172-3184
Pensar en Movimiento-Revista de Ciencias del Ejercicio y la Salud,0.3,1659-4436
Museum Worlds,0.3,2049-6737
Espana Medieval,0.3,1988-2971
Grafica-Journal of Graphic Design,0.3,2014-9298
Alicante Journal of English Studies-Revista Alicantina de Estudios Ingleses,0.3,2171-861X
Bulgarsko e-Spisanie za Arkheologiya-Bulgarian e-Journal of Archaeology,0.3,1314-5088
Bitacora Urbano Territorial,0.3,2027-145X
Revista de Psicologia PUCP,0.3,2223-3733
Izvestiya of Saratov University Mathematics Mechanics Informatics,0.3,2541-9005
Studia Europejskie-Studies in European Affairs,0.3,2719-3780
Taiwan Journal of Linguistics,0.3,1994-2559
Cuadernos de Historia Contemporanea,0.3,1988-2734
Estoa-Revista de la Facultad de Arquitectura y Urbanismo de la Universidad de Cuenca,0.3,1390-9274
Rational Pharmacotherapy in Cardiology,0.3,2225-3653
Eesti ja Soome-Ugri Keeleteaduse Ajakiri-Journal of Estonian and Finno-Ugric Linguistics,0.3,2228-1339
Iconos,0.3,1390-8065
ICONARP International Journal of Architecture and Planning,0.3,2147-9380
Historische Zeitschrift,0.3,2196-680X
BMGN-The Low Countries Historical Review,0.3,2211-2898
Mathematica Bohemica,0.3,2464-7136
BIJDRAGEN TOT DE TAAL- LAND- EN VOLKENKUNDE,0.3,2213-4379
Poblacion y Salud en Mesoamerica,0.3,1659-0201
CyberGeo-European Journal of Geography,0.3,1278-3366
Revista sobre la Infancia y la Adolescencia,0.3,2174-7210
Tecnologia y Ciencias del Agua,0.3,2007-2422
Biblical Annals,0.3,2451-2168
Journal of Jesuit Studies,0.3,2214-1332
Conimbriga-Revista de Arqueologia,0.3,1647-8657
Journal of Geography-Cografya Dergisi,0.3,1305-2128
ENTRE CIENCIA E INGENIERIA,0.3,2539-4169
URVIO-Revista Latinoamericana de Estudios de Seguridad,0.3,1390-4299
Revista Costarricense de Psicologia,0.3,1659-2913
Letras Verdes,0.3,1390-6631
Anuario de Estudios Medievales,0.3,1988-4230
SAGVNTVM-Papeles del Laboratorio de Arqueologia de Valencia,0.3,2174-517X
Gladius,0.3,1988-4168
Arteterapia-Papeles de Arteterapia y Educacion Artistica para la Inclusion Social,0.3,1988-8309
Ecosistemas y Recursos Agropecuarios,0.3,2007-901X
HISPANIA-REVISTA ESPANOLA DE HISTORIA,0.3,1988-8368
International Journal of Organ Transplantation Medicine,0.3,2008-6482
Estudios Demograficos y Urbanos,0.3,2448-6515
Estudios de Cultura Maya,0.3,2448-5179
Linguamatica,0.3,1647-0818
CIC-Cuadernos de Informacion y Comunicacion,0.3,1988-4001
Suma de Negocios,0.3,2027-5692
ALSIC-Apprentissage des Langues et Systems d Information et de Communication,0.3,1286-4986
Medievalismo,0.3,1989-8312
Futuro del Pasado-Revista Electronica de Historia,0.3,1989-9289
Agrisost,0.3,1025-0247
Papers from the Institute of Archaeology,0.3,2041-9015
Eurasian Journal of Emergency Medicine,0.3,2149-6048
Revista Brasileira de Direito,0.3,2238-0604
Journal of Feminist Scholarship,0.3,2158-6179
Revista de Historia Moderna-Anales de la Universidad de Alicante,0.3,1989-9823
Cuadernos de Filologia Italiana,0.3,1988-2394
Historia y Memoria de la Educacion,0.3,2444-0043
Journal of Humanistic Mathematics,0.3,2159-8118
Ewha Medical Journal,0.3,2234-2591
Otoritas-Jurnal Ilmu Pemerintahan,0.3,2502-9320
Economia Sociedad y Territorio,0.3,2448-6183
Journal of Educational Cultural and Psychological Studies,0.3,2037-7924
Comparative Philosophy-An International Journal of Constructive Engagement of Distinct Approaches toward World Philosophy,0.3,2151-6014
Media & Jornalismo,0.3,2183-5462
Cadernos de Geografia,0.3,2183-4016
Haseki TIp Bulteni-Medical Bulletin of Haseki,0.3,2147-2688
Praxis & Saber,0.3,2462-8603
Veleia,0.3,2444-3565
UIS Ingenierias,0.3,2145-8456
Boletim do Arquivo da Universidade de Coimbra,0.3,2182-7974
Estudios Romanicos,0.3,1989-614X
Childhood and Philosophy,0.3,1984-5987
Baltic Journal of English Language Literature and Culture,0.3,2501-0395
Aisthesis-Pratiche Linguaggi e Saperi dell Estetico,0.3,2035-8466
Journal of Krishna Institute of Medical Sciences University,0.3,2231-4261
